economy,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
CMR,2.19409990310669,,2.46875,2.63007998466492,2.60480999946594,2.95227003097534,3.23773002624512,,,,,,,,4.9432201385498,4.69010019302368,4.71602010726929,5.15587997436523,5.22031021118164,5.22725009918213,6.03904008865356,7.07693004608154,7.57396984100342,8.20874977111816,9.40400981903076,11.5745716750246,12.5102445161105,13.5363302230835,15.7712802886963,16.7535896301269,17.2970758627753,12.7046554004596,12.9818161813936,14.5449548868213,15.0528614131463,15.5519566247682,17.1581831920239,16.4371527754335,16.0404395184936,16.6614294830602
COD,1.37082004547119,1.3996399641037,1.51699995994568,1.69459998607635,1.91014003753662,2.01207995414734,2.3406400680542,,,,2.31089997291565,,,,1.45257997512817,,,,,,,4.20873022079468,4.20303010940552,5.27932977676392,6.261549949646,,7.55883979797363,7.63979005813599,6.37279987335205,,,5.9003701210022,,,,6.37987995147705,,,,
COG,5.39250993728638,5.30333995819092,5.27370023727417,5.57554006576538,4.61790990829468,4.57369995117188,4.54329013824463,4.98357009887695,5.57453012466431,,,,,,3.67139005661011,5.24350023269653,4.20174980163574,3.7616400718689,3.79619002342224,,,,,,5.87968015670776,,7.95887994766235,9.09545040130615,8.56632041931152,,,,12.1461896896362,,,,,,10.3812103271484,
COL,,,,,,,,,,,,,,,,25.5096893310547,26.3812599182129,26.5130996704102,,29.5034599304199,32.253978729248,34.3662109375,35.4785308837891,37.9448013305664,39.5088005065918,41.529670715332,45.2873306274414,47.4669914245605,50.7474899291992,53.1794395446777,54.7961311340332,57.1437492370605,58.3960418701172,57.3205413818359,56.6663017272949,55.7331085205078,58.3159217834473,59.2901382446289,,
COM,,,,,,0.617150008678436,,0.555559992790222,0.578010022640228,,,0.901440024375916,,,1.51769995689392,1.60367000102997,,,3.42070007324219,,,,4.39438009262085,,6.19504022598267,7.90405216581276,9.48193229364778,10.5360636883691,9.13247966766357,9.5927242808028,,,18.8190281456697,,,,,,,
CPV,,,,,,,,,,,,,,,1.54689002037048,1.77746999263763,1.54462003707886,3.76713991165161,4.45262002944946,5.89057016372681,7.33844995498657,8.3322696685791,9.42763996124268,11.6451501846313,14.5845203399658,17.2396798150949,19.8174684695304,19.8951290654347,22.2468122776255,23.2703965538205,22.524027665499,23.6934975221505,24.5594648459854,24.2905954414767,,,,,,
CRI,,,,,,,,,,,,,,,,,,,,25.8056793212891,,,,,,,44.6711883544922,46.6885414123535,47.5057106018066,50.3342781066895,51.2845802307129,51.6516418457031,54.4492301940918,52.6140899658203,55.0202903747559,,,,,
CSS,5.98225021362305,6.19642019271851,6.45601987838745,6.70971012115479,7.07566022872925,7.63067007064819,8.56671047210693,8.82328987121582,9.07065963745117,9.40382957458496,9.52126026153564,9.88105964660645,10.2123603820801,10.1574897766113,10.1685104370117,12.4815998077393,13.4508304595947,14.4409503936768,15.3083400726318,16.4811305999756,16.0023498535156,16.1468200683594,17.4229507446289,18.9792003631592,19.4849090576172,20.8750495910644,20.8291606903076,22.1598205566406,21.7818107604981,22.1476001739502,22.3374500274658,22.4458999633789,,,,,,,,
CUB,18.1460704803467,19.7975006103516,21.5216102600098,22.0718593597412,21.2313804626465,20.6704692840576,20.8748302459717,19.6879501342773,17.9483890533447,16.7040901184082,14.2621002197266,13.4059000015259,13.2927103042603,13.477499961853,21.1540107727051,22.9956703186035,26.0719394683838,27.423469543457,32.568790435791,52.4411582946777,60.115119934082,84.7447280883789,105.017448425293,117.163070678711,113.827087402344,93.544739814446,78.4791611574931,61.3519866952141,47.9938388668246,40.8057214253261,36.7510276842099,35.0523986816406,41.1702416547293,42.3506387045364,44.7791807576091,46.7357262964117,51.8885571735926,,49.7285704304293,43.1040700506779
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0842005676443,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,15.839599609375,21.135799407959,21.8025798797607,19.2189903259277,19.8089809417725,,,19.4577903747559,22.1045207977295,33.0195503234863,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,21.6125202178955,25.1022891998291,31.9552307128906,36.0204582214355,34.102180480957,34.3019485473633,36.2316017150879,40.8491706848145,47.6964492797852,48.311580657959,46.5397300720215,45.8635902404785,47.470890045166,52.1083793640137,59.8640594482422,68.3754730224609,79.827522277832,86.5899276733398,93.9260711669922,102.390762329102,106.362930297852,105.384979248047,107.26212310791,120.87727355957
CZE,,,,,,,,,,,,,,,,,32.0267791748047,36.8876609802246,39.2078895568848,45.4242782592773,49.1181411743164,49.8811302185059,54.1809005737305,57.9171714782715,61.4115715026855,64.9327697753906,66.7968215942383,66.9287719726562,66.3243179321289,67.3959732055664,67.2303619384766,67.5056381225586,67.7142181396484,66.7902221679688,66.8802185058594,67.1843719482422,69.8369293212891,70.8145904541016,66.7282867431641,
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8984489440918,65.1844787597656,68.23291015625,67.9464111328125,68.4692306518555,69.1634292602539,72.705078125,72.3894195556641,75.6655426025391,77.3656997680664,78.5947494506836,76.7096862792969
DJI,,0.0,,,,,0.0,0.0858300030231476,0.105959996581078,0.124420002102852,,0.209659993648529,0.251010000705719,,0.244910001754761,0.257360011339188,0.654820024967194,0.934469997882843,1.14007997512817,1.43494999408722,2.15187001228333,2.43639993667602,2.70820999145508,2.89696002006531,3.63386988639831,3.61855006217956,5.16012001037598,,,,,,,,,,,,,
DMA,0.691640019416809,,,,0.850109994411469,,5.67882013320923,8.95604038238525,6.9480299949646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,61.3673095703125,64.2234725952148,68.1712493896484,74.9665069580078,80.8124618530273,78.5057678222656,78.243293762207,74.8606262207031,73.1106262207031,72.4951477050781,75.9300231933594,77.7465515136719,80.4186782836914,81.3143615722656,83.300407409668,82.1714935302734,81.3220062255859,81.1405487060547,81.6945877075195,82.6643295288086,83.982292175293,84.5866088867188,81.2308197021484,78.9604110717773
