DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,SOC,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,72.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,71.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRB,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,56.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,34.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BRN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,36,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BTN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,8.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BTN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,11.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BWA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,15.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BWA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,14.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),BWA,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,13.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CAF,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,3.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CAN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,99.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CAN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CAN,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,95.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,92.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,96.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,69.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2017,69.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CHL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,70.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
